summit_candidate_id,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,top1_mountain_count,top3_mountain_count,top1_mountain_nos,top1_mountain_names,top3_mountain_nos,top3_mountain_names,max_score,score_spread,suggested_review_bucket,notes
summit-candidate:edac81b361bdc70c,yamap_2024-12-01_06_40.gpx,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,34.0123819,133.6793921,591.7966666666667,7,10,331|332|333|334|335|337|339,五郎丸|高丸|金見山|木峰|天狗森|龍王山|城山,331|332|333|334|335|336|337|338|339|507,五郎丸|高丸|金見山|木峰|天狗森|唐谷山|龍王山|大谷山|城山|牛ヶ首,0.78,0.51,resolve_conflict,top1_count=7; top3_count=10; max_score=0.78
summit-candidate:35b464661fa62df9,yamap_2022-09-15_09_20.gpx,三山,34.2803533,133.2279632,323.2966666666667,2,8,123|126,三山|石灰山,123|124|125|126|127|151|242|464,三山|伊勢山|久司山|石灰山|古法皇山|冨士山|歯朶谷山|飯之山,0.68,0.41,resolve_conflict,top1_count=2; top3_count=8; max_score=0.68
summit-candidate:473a62086144ac33,yamap_2023-03-29_05_31.gpx,えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山,33.8755645,133.3400675,1619.846666666667,2,8,222|223,西赤石山|物住頭,218|219|220|221|222|223|224|225,えんとつ山|生子山|犬返|種子川山|西赤石山|物住頭|上兜山|下兜山,0.85,0.78,resolve_conflict,top1_count=2; top3_count=8; max_score=0.85
summit-candidate:02d59cd1260af017,yamap_2024-01-27_10_11.gpx,御串山,34.2470088,132.9890515,62.803333333333335,2,7,258|260,御串山|開山,39|139|257|258|259|260|310,花木山|黒崎山|大空山|御串山|宝股山|開山|薬師山,0.68,0.36,resolve_conflict,top1_count=2; top3_count=7; max_score=0.68
summit-candidate:13aa9354da4eb6d6,yamap_2025-03-30_12_56.gpx,京の森・大迫山,33.5055365,132.6868759,572.4394591518229,2,7,401|402,京の森|大迫山,398|399|400|401|402|504|505,岳山|一ヶ森|愛の森|京の森|大迫山|鉢が森|高山寺山,0.69,0.42,resolve_conflict,top1_count=2; top3_count=7; max_score=0.69
summit-candidate:5f3f2f47d84464c4,yamap_2025-03-30_09_12.gpx,一ヶ森,33.4530897,132.7168465,605.2468947172716,2,7,398|399,岳山|一ヶ森,397|398|399|400|401|402|438,竜王山|岳山|一ヶ森|愛の森|京の森|大迫山|堂所山,0.73,0.46,resolve_conflict,top1_count=2; top3_count=7; max_score=0.73
summit-candidate:c2fc382b492cfde4,yamap_2022-10-28_06_21.gpx,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,33.7499423,132.9750274,961.2033333333334,2,7,153|155,石墨山|白猪山,152|153|154|155|156|157|158,割石峠山|石墨山|法師山|白猪山|梅ヶ谷山|樽谷山|根無山,0.67,0.4,resolve_conflict,top1_count=2; top3_count=7; max_score=0.67
summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),33.8192567,132.8731185,306.31,2,7,5|6,衣掛山|吉山(吉山城址),3|4|5|6|242|245|390,高森山|岩伽羅山|衣掛山|吉山(吉山城址)|歯朶谷山|高森|高森山,0.73,0.46,resolve_conflict,top1_count=2; top3_count=7; max_score=0.73
summit-candidate:0048d4d3a7981b80,yamap_2025-01-03_07_19.gpx,壺神山・滝山・足山・皿が森,33.6062894,132.5155614,697.5172644320495,2,6,355|509,足山|感応寺山,353|354|355|356|407|509,壺神山|滝山|足山|皿が森|五十崎神南山|感応寺山,0.79,0.72,resolve_conflict,top1_count=2; top3_count=6; max_score=0.79
summit-candidate:0eff3d1ea2b48d73,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,33.7351844,132.7317786,456.90483803547824,2,6,13|14,谷上山|権現山,13|14|15|16|30|104,谷上山|権現山|白滝山|障子山|勝岡山|横山(横山城址),0.85,0.58,resolve_conflict,top1_count=2; top3_count=6; max_score=0.85
summit-candidate:51c8bc6a368c422c,yamap_2026-01-18_09_11.gpx,竜王の峰,33.3475127,132.4815915,542.5079186549784,2,6,454|504,竜王の峰|鉢が森,129|453|454|502|503|504,極山|大判山|竜王の峰|うつむき山|妙見山|鉢が森,0.85,0.78,resolve_conflict,top1_count=2; top3_count=6; max_score=0.85
