No,山名,標高,登頂回数,YAMAP link,難易度ランク,エントリーコースお勧め山,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
186,垣生山,118,1,https://yamap.com/activities/21828514,1,,,松山市,2023,,1月,,,,,,,
187,津田山,110,1,https://yamap.com/activities/21828514,1,,,松山市,2023,,1月,,,,,,,
188,弁天山,130,1,https://yamap.com/activities/21828514,1,,,松山市,2023,,1月,,,,,,,
189,権現山,491,1,https://yamap.com/activities/21864997,3,,,愛南町,2023,,1月,,,,,,,
190,黒瀬山（黒瀬城址）,341,1,https://yamap.com/activities/21888400,2,,,西予市,2023,,1月,,,,,,,
191,岡山（岡城址）,360,1,https://yamap.com/activities/21888400,2,,,西予市,2023,,1月,,,,,,,
192,鉢ヶ森（鉢ヶ森城址）,434,1,https://yamap.com/activities/21888400,2,,,西予市,2023,,1月,,,,,,,
193,護摩ヶ森（護摩ヶ森城址）,380,1,https://yamap.com/activities/21888400,2,,,西予市,2023,,1月,,,,,,,
194,我合山（我合城址）,350,1,https://yamap.com/activities/21888400,2,,,西予市,2023,,1月,,,,,,,
195,由良山,249,1,https://yamap.com/activities/21934144,3,,,宇和島市,2023,,1月,,〇,,,,,
196,大森山,291,1,https://yamap.com/activities/22060688,2,,,伊方町,2023,,1月,,,,,,,
197,見晴山,395,1,https://yamap.com/activities/22061577,1,,,伊方町,2023,,1月,,,,,,,
198,権現山,375,1,https://yamap.com/activities/22062877,1,,,伊方町,2023,,1月,,,,,,,
199,遠見山,130,1,https://yamap.com/activities/22065412,1,,,伊方町,2023,,1月,,,,,,,
200,石神山,303,1,https://yamap.com/activities/22078154,2,,,伊方町,2023,,1月,,,,,,,
201,金比羅山,203,1,https://yamap.com/activities/22078154,1,,,伊方町,2023,,1月,,,,,,,
202,鳥越山,100,1,https://yamap.com/activities/22163782,1,,,松山市,2023,,1月,,,,,,,
203,谷田山,78,1,https://yamap.com/activities/22167454,1,,,松山市,2023,,1月,,,,,,,
204,金毘羅山,41,1,https://yamap.com/activities/22167454,1,,,松山市,2023,,1月,,,,,,,
205,佐古田山,77,1,https://yamap.com/activities/22169885,1,,,松山市,2023,,1月,,,,,,,
206,古城山,202,1,https://yamap.com/activities/22176647,2,,,松山市,2023,,1月,,,,,,,
207,尾崎山,260,1,https://yamap.com/activities/22176647,2,,,松山市,2023,,1月,,,,,,,
208,宝ヶ峯,284,2,https://yamap.com/activities/22807837,1,,,松山市,2023,〇,3月,,,,,,,
209,淡路ヶ峠,273,3,https://yamap.com/activities/22807837,1,〇,,松山市,2023,〇,3月,,,,,,,
210,福見山,"1,051",2,https://yamap.com/activities/22917822,2,,,松山市,2023,〇,3月,,〇,〇,〇,,,
211,明神ヶ森,"1,217",2,https://yamap.com/activities/22917822,2,,,松山市,2023,〇,3月,,〇,〇,〇,★,☆,★
212,南三方ヶ森,"1,156",3,https://yamap.com/activities/22917822,3,,,松山市,2023,〇,3月,,,,,,,
213,魚谷森,"1,005",3,https://yamap.com/activities/22917822,3,,,松山市,2023,〇,3月,,,,,,,
214,左谷ノ森,932,4,https://yamap.com/activities/22917822,3,,,松山市,2023,〇,3月,,,,,,,
215,真城ヶ台,587,1,https://yamap.com/activities/22997019,3,,,松山市,2023,〇,3月,,,,,,,
216,千羽ヶ岳,412,1,https://yamap.com/activities/23107258,3,,,西条市,2023,〇,3月,,,,,,,
217,皿ヶ嶺,"1,278",2,https://yamap.com/activities/16663708,1,〇,,東温市,2023,〇,3月,,〇,〇,〇,★,☆,★
218,えんとつ山,127,1,https://yamap.com/activities/23230342,1,,,新居浜市,2023,,3月,,,,,,,
219,生子山,301,1,https://yamap.com/activities/23230342,1,,,新居浜市,2023,,3月,,,,,,,
220,犬返,576,1,https://yamap.com/activities/23230342,1,,,新居浜市,2023,,3月,,,,,,,
221,種子川山,539,1,https://yamap.com/activities/23230342,2,,,新居浜市,2023,,3月,,,,,,,
222,西赤石山,"1,626",2,https://yamap.com/activities/23230342,3,,,新居浜市,2023,,3月,,,〇,〇,★,☆,★
223,物住頭,"1,635",2,https://yamap.com/activities/23230342,3,,,新居浜市,2023,〇,3月,,,,〇,,,
224,上兜山,"1,559",1,https://yamap.com/activities/23230342,5,,,新居浜市,2023,〇,3月,,,,〇,,,
225,下兜山,"1,234",1,https://yamap.com/activities/23230342,5,,,新居浜市,2023,〇,3月,,,,〇,,,
