mountain_no,mountain_name,summit_candidate_id,grounding_assisted_candidate_score,grounding_match_status,grounding_distance_m,grounding_elevation_diff_m,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,candidate_rank_for_mountain,track_name,grounding_reason_codes
296,桂ヶ森,summit-candidate:d659f1dc6e5fa0b5,0.22,grounding_unavailable,,,33.6584439,133.0393458,1206.9212487152886,1224,5,四辻ノ森・三光ノ辻山,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:e010f98d2b23f547,0.22,grounding_unavailable,,,33.6973447,133.0732035,1212.5233333333333,1224,6,気多山・八辻ノ峰・五代ヶ森,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:e084389cc60ad329,0.22,grounding_unavailable,,,33.7260215,132.9136819,1203.3533333333332,1224,7,陣ヶ森・前々司山・うなめご,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:e7e4429a39f6359f,0.22,grounding_unavailable,,,33.7306327,132.9237927,1250.17,1224,8,陣ヶ森・前々司山・うなめご,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:ec2a95521eaac250,0.22,grounding_unavailable,,,33.6192163,133.0702571,1252.7733333333333,1224,9,二箆山・西雑誌山,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:90c3723735d95c0d,0.21,grounding_unavailable,,,33.2086892,132.6346403,1224.2266666666667,1224,10,高月山・東高月山・郭公岳・櫨ヶ森・毛山,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:a1b1b7885eeab893,0.21,grounding_unavailable,,,33.8717366,133.6269198,1220.8566666666666,1224,11,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:babbcdf7bbd23463,0.21,grounding_unavailable,,,33.1878433,132.6355525,1222.4936499541386,1224,12,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:d06b9d5365beffaa,0.21,grounding_unavailable,,,33.9025981,132.959899,1229.5033333333333,1224,13,東三方ヶ森,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:f760bededfedfc09,0.21,grounding_unavailable,,,33.5377687,132.8255571,1215.7332944221434,1224,14,雨乞山・妙見森,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:0d157ed871f76807,0.15,grounding_unavailable,,,33.8127427,133.2473801,1210.7966666666669,1224,15,谷崎山,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:12c27f259b66de80,0.15,grounding_unavailable,,,33.1850023,132.6371878,1201.04,1224,16,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_response_without_coordinate
