mountain_no,mountain_name,classification,summit_candidate_id,grounding_assisted_candidate_score,grounding_distance_m,grounding_match_status,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,track_name,grounding_reason_codes
86,七々木山,grounding_far_from_all_candidates,summit-candidate:2f7dbee4c5bde53e,0.36,1537.5,grounding_contradicted_or_unrelated,33.9280045,133.4790952,1251.9766666666667,1145,寒川山・鋸山・七々木山・豊受山・赤星山,grounding_far_from_candidate
87,鋸山,grounding_far_from_all_candidates,summit-candidate:2f7dbee4c5bde53e,0.36,3232.1,grounding_contradicted_or_unrelated,33.9280045,133.4790952,1251.9766666666667,1017,寒川山・鋸山・七々木山・豊受山・赤星山,grounding_far_from_candidate
90,割石東山,grounding_response_without_coordinate,summit-candidate:4b33f9c73e644793,0.63,,grounding_unavailable,33.7587783,132.9928848,1076.4162189328617,1074,割石東山・青滝山・堂ヶ森,grounding_response_without_coordinate
91,青滝山,grounding_far_from_all_candidates,summit-candidate:242762a3c600ff91,0.504,14948,grounding_contradicted_or_unrelated,33.7620048,133.0352237,1301.993333333333,1303,割石東山・青滝山・堂ヶ森,grounding_far_from_candidate
92,堂ヶ森,grounding_response_without_coordinate,summit-candidate:bb644412fd9a132c,0.63,,grounding_unavailable,33.7557226,133.066955,1682.5333333333335,1689,割石東山・青滝山・堂ヶ森,grounding_response_without_coordinate
93,南尖峰,grounding_far_from_all_candidates,summit-candidate:3b98b67bbe0fe0f9,0.448,1767.3,grounding_contradicted_or_unrelated,33.7675949,133.1152818,1979.1701508543217,1982,石鎚山・天狗岳・南尖峰,grounding_far_from_candidate
94,自念子ノ頭,grounding_response_without_coordinate,summit-candidate:6b5100f449c22108,0.56,,grounding_unavailable,33.7805717,133.2216507,1698.7424939329492,1702,自念子ノ頭,grounding_response_without_coordinate
95,勝山,grounding_response_without_coordinate,summit-candidate:91cacd7deced8470,0.63,,grounding_unavailable,33.844404,132.7665578,129.4799661552467,131,勝山,grounding_response_without_coordinate
96,姫草,grounding_far_from_all_candidates,summit-candidate:dc456a72b89d4d52,0.504,21433.1,grounding_contradicted_or_unrelated,33.4707047,132.8970608,1272.03184660662,1274,姫草,grounding_far_from_candidate
97,牛城,grounding_far_from_all_candidates,summit-candidate:c7ff156edb321d12,0.448,21437.8,grounding_contradicted_or_unrelated,33.4674336,132.9161606,1345.4997959227253,1342,牛城,grounding_far_from_candidate
