mountain_no,mountain_name,suggested_summit_candidate_id,suggested_candidate_score,suggested_candidate_confidence,suggested_location_stability_bucket,suggested_municipality_relation,suggested_candidate_municipality,source_mountain_municipality,accepted_summit_candidate_id,decision_status,decision_reason,reviewer_notes,needs_followup,map_checked,packet_path,top3_candidate_ids,conflict_group_ids,created_from_stage
153,石墨山,summit-candidate:c2fc382b492cfde4,0.67,medium,boundary_plausible,adjacent_municipality,東温市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0008_yamap_2022-10-28_06_21.md,summit-candidate:c2fc382b492cfde4|summit-candidate:16e9de2bedeb2d1c|summit-candidate:25e47e34740282d2,gpx_group_0008|summit_candidate_0037|summit_candidate_0122|summit_candidate_0081|mountain_153,location_stability_review_packets
154,法師山,summit-candidate:25e47e34740282d2,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,四国中央市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0008_yamap_2022-10-28_06_21.md,summit-candidate:25e47e34740282d2|summit-candidate:c2fc382b492cfde4|summit-candidate:16e9de2bedeb2d1c,gpx_group_0008|summit_candidate_0081|summit_candidate_0037|summit_candidate_0122|mountain_154,location_stability_review_packets
155,白猪山,summit-candidate:c2fc382b492cfde4,0.67,medium,boundary_plausible,adjacent_municipality,東温市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0008_yamap_2022-10-28_06_21.md,summit-candidate:c2fc382b492cfde4|summit-candidate:5cb1fa3d9dcf60f5|summit-candidate:16e9de2bedeb2d1c,gpx_group_0008|summit_candidate_0037|summit_candidate_0206|summit_candidate_0122|mountain_155,location_stability_review_packets
156,梅ヶ谷山,summit-candidate:25e47e34740282d2,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,四国中央市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0008_yamap_2022-10-28_06_21.md,summit-candidate:25e47e34740282d2|summit-candidate:c2fc382b492cfde4|summit-candidate:16e9de2bedeb2d1c,gpx_group_0008|summit_candidate_0081|summit_candidate_0037|summit_candidate_0122|mountain_156,location_stability_review_packets
157,樽谷山,summit-candidate:16e9de2bedeb2d1c,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0008_yamap_2022-10-28_06_21.md,summit-candidate:16e9de2bedeb2d1c|summit-candidate:5cb1fa3d9dcf60f5|summit-candidate:c2fc382b492cfde4,gpx_group_0008|summit_candidate_0122|summit_candidate_0206|summit_candidate_0037|mountain_157,location_stability_review_packets
158,根無山,summit-candidate:5cb1fa3d9dcf60f5,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0008_yamap_2022-10-28_06_21.md,summit-candidate:5cb1fa3d9dcf60f5|summit-candidate:16e9de2bedeb2d1c|summit-candidate:c2fc382b492cfde4,gpx_group_0008|summit_candidate_0206|summit_candidate_0122|summit_candidate_0037|mountain_158,location_stability_review_packets
159,権現山,summit-candidate:cf97b8470d2ed1d7,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0077_yamap_2022-11-05_04_38.md,summit-candidate:cf97b8470d2ed1d7|summit-candidate:09547fd48f24d064|summit-candidate:ffa6a88e4e680fd5,gpx_group_0077|summit_candidate_0358|summit_candidate_0061|summit_candidate_0186|mountain_159,location_stability_review_packets
160,黒岳,summit-candidate:ffa6a88e4e680fd5,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0077_yamap_2022-11-05_04_38.md,summit-candidate:ffa6a88e4e680fd5|summit-candidate:09547fd48f24d064|summit-candidate:7ef7c15a52318cc9,gpx_group_0077|summit_candidate_0186|summit_candidate_0061|summit_candidate_0411|mountain_160,location_stability_review_packets
161,エビラ山,summit-candidate:09547fd48f24d064,0.85,medium,location_uncertain_keep,non_adjacent_municipality,新居浜市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0077_yamap_2022-11-05_04_38.md,summit-candidate:09547fd48f24d064|summit-candidate:7ef7c15a52318cc9|summit-candidate:ffa6a88e4e680fd5,gpx_group_0077|summit_candidate_0061|summit_candidate_0411|summit_candidate_0186|mountain_161,location_stability_review_packets
162,二ッ岳,summit-candidate:09547fd48f24d064,0.79,medium,location_uncertain_keep,non_adjacent_municipality,新居浜市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0077_yamap_2022-11-05_04_38.md,summit-candidate:09547fd48f24d064|summit-candidate:7ef7c15a52318cc9|summit-candidate:ffa6a88e4e680fd5,gpx_group_0077|summit_candidate_0061|summit_candidate_0411|summit_candidate_0186|mountain_162,location_stability_review_packets
