mountain_no,mountain_name,summit_candidate_id,grounding_refined_score,grounding_bucket,grounding_distance_m,grounding_consensus,grounding_confidence,location_stability_bucket,location_stability_refined_score,candidate_lat,candidate_lon,candidate_ele_m,elevation_diff_m,name_tier,grounding_refined_review_priority,track_name
85,"赤星山",summit-candidate:db51ae1b2be57eea,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.9193511,133.4578173,1451.1,1.9,strong,medium,"寒川山・鋸山・七々木山・豊受山・赤星山"
86,"七々木山",summit-candidate:2f7dbee4c5bde53e,0.67,grounding_neutral,1537.5,single_cluster_consensus,0.95,location_strong_match,0.67,33.9280045,133.4790952,1252,107,strong,high,"寒川山・鋸山・七々木山・豊受山・赤星山"
87,"鋸山",summit-candidate:2f7dbee4c5bde53e,0.61,grounding_weakened,3232.1,single_cluster_consensus,0.98,location_strong_match,0.67,33.9280045,133.4790952,1252,235,strong,deprioritized,"寒川山・鋸山・七々木山・豊受山・赤星山"
88,"翠波峰",summit-candidate:2f7dbee4c5bde53e,0.61,grounding_weakened,6803.8,single_cluster_consensus,0.99,location_strong_match,0.67,33.9280045,133.4790952,1252,361,strong,deprioritized,"寒川山・鋸山・七々木山・豊受山・赤星山"
89,"平石山",summit-candidate:2f7dbee4c5bde53e,0.61,grounding_weakened,9385.8,single_cluster_consensus,0.94,location_strong_match,0.67,33.9280045,133.4790952,1252,426,strong,deprioritized,"寒川山・鋸山・七々木山・豊受山・赤星山"
90,"割石東山",summit-candidate:4b33f9c73e644793,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.7587783,132.9928848,1076.4,2.4,strong,medium,"割石東山・青滝山・堂ヶ森"
91,"青滝山",summit-candidate:242762a3c600ff91,0.69,grounding_weakened,14948,single_cluster_consensus,0.95,location_uncertain_keep,0.75,33.7620048,133.0352237,1302,1,strong,deprioritized,"割石東山・青滝山・堂ヶ森"
92,"堂ヶ森",summit-candidate:bb644412fd9a132c,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.7557226,133.066955,1682.5,6.5,strong,medium,"割石東山・青滝山・堂ヶ森"
93,"南尖峰",summit-candidate:3b98b67bbe0fe0f9,0.68,grounding_neutral,1767.3,single_cluster_consensus,0.99,location_uncertain_keep,0.68,33.7675949,133.1152818,1979.2,2.8,strong,high,"石鎚山・天狗岳・南尖峰"
94,"自念子ノ頭",summit-candidate:6b5100f449c22108,0.78,grounding_neutral,,no_evidence,,location_strong_match,0.78,33.7805717,133.2216507,1698.7,3.3,strong,medium,"自念子ノ頭"
